visitedPages;relevantPages;ratio
10;1;0,1
20;1;0,05
30;1;0,033333333333333
40;3;0,075
50;3;0,06
60;3;0,05
70;3;0,042857142857143
80;3;0,0375
90;4;0,044444444444444
100;7;0,07
110;8;0,072727272727273
120;9;0,075
130;10;0,076923076923077
140;13;0,092857142857143
150;14;0,093333333333333
160;16;0,1
170;21;0,12352941176471
180;22;0,12222222222222
190;26;0,13684210526316
200;35;0,175
210;44;0,20952380952381
220;53;0,24090909090909
230;57;0,24782608695652
240;63;0,2625
250;66;0,264
260;70;0,26923076923077
270;76;0,28148148148148
280;80;0,28571428571429
290;85;0,29310344827586
300;92;0,30666666666667
310;101;0,3258064516129
320;107;0,334375
330;107;0,32424242424242
340;107;0,31470588235294
350;107;0,30571428571429
360;107;0,29722222222222
370;107;0,28918918918919
380;107;0,28157894736842
390;107;0,27435897435897
400;107;0,2675
410;107;0,2609756097561
420;107;0,2547619047619
430;107;0,24883720930233
440;107;0,24318181818182
450;107;0,23777777777778
