visitedPages,relevantPages,ratio
10,3,0.3
20,13,0.65
30,20,0.66666666666667
40,28,0.7
50,37,0.74
60,47,0.78333333333333
70,55,0.78571428571429
80,64,0.8
90,74,0.82222222222222
100,82,0.82
110,91,0.82727272727273
120,101,0.84166666666667
130,110,0.84615384615385
140,120,0.85714285714286
150,130,0.86666666666667
160,139,0.86875
170,149,0.87647058823529
180,159,0.88333333333333
190,169,0.88947368421053
200,179,0.895
210,188,0.8952380952381
220,198,0.9
230,208,0.90434782608696
240,218,0.90833333333333
250,228,0.912
260,236,0.90769230769231
270,245,0.90740740740741
280,255,0.91071428571429
